index,width,height,unique,blur,mean,min,max,stdv,file_size,contrast
27346,256,256,0,1434.7096,89.4848,0.0000,255.0000,41.7463,10440,1.0000
27347,256,256,0,2737.8877,167.0536,0.0000,255.0000,53.4997,14567,1.0000
27348,256,256,0,805.9008,164.3747,0.0000,255.0000,49.7535,11591,1.0000
27349,256,256,0,2376.7056,96.4092,0.0000,255.0000,65.5817,16621,1.0000
27350,256,256,0,5195.0947,104.5066,0.0000,255.0000,61.3740,19261,1.0000
27351,256,256,0,2409.2065,106.1704,0.0000,255.0000,58.0232,16865,1.0000
27352,256,256,0,855.5924,148.4682,0.0000,255.0000,45.4995,11100,1.0000
27353,256,256,0,739.2034,131.7875,0.0000,255.0000,56.9172,8889,1.0000
27354,256,256,0,3292.7434,102.8814,0.0000,255.0000,59.0670,15156,1.0000
27355,256,256,0,638.4909,143.7230,0.0000,255.0000,81.2039,10407,1.0000
27356,256,256,0,3722.3613,123.0587,0.0000,255.0000,85.7271,15732,1.0000
27357,256,256,0,7706.5786,126.2860,0.0000,255.0000,75.4457,22203,1.0000
27358,256,256,0,714.7699,46.4031,0.0000,255.0000,66.6030,7896,1.0000
27359,256,256,0,661.8596,101.1302,0.0000,255.0000,56.3429,11881,1.0000
27360,256,256,0,6628.3677,126.4300,0.0000,255.0000,57.9447,20823,1.0000
27361,256,256,0,2805.2002,73.7025,0.0000,255.0000,57.6686,16242,1.0000
27362,256,256,0,6743.4438,129.2706,0.0000,255.0000,83.2291,20221,1.0000
27363,256,256,0,4377.4751,145.5040,0.0000,255.0000,80.8725,17026,1.0000
27364,256,256,0,799.9512,148.6397,0.0000,255.0000,63.8135,11224,1.0000
27365,256,256,0,627.8491,123.7101,6.0000,255.0000,39.4924,9490,0.9540
27366,256,256,0,1722.5293,131.5603,0.0000,255.0000,56.2386,13165,1.0000
27367,256,256,0,382.2771,64.7533,0.0000,255.0000,76.5578,8067,1.0000
27368,256,256,0,2090.4973,138.6719,0.0000,255.0000,51.2039,16346,1.0000
27369,256,256,0,3772.7722,92.8886,0.0000,255.0000,72.1739,18224,1.0000
27370,256,256,0,1079.9260,114.8500,0.0000,255.0000,59.4315,12195,1.0000
27371,256,256,0,970.9191,113.4314,0.0000,255.0000,67.6653,10694,1.0000
27372,256,256,0,481.4102,155.8284,0.0000,255.0000,66.7181,10086,1.0000
27373,256,256,0,764.3793,136.4409,0.0000,255.0000,43.3679,9913,1.0000
27374,256,256,0,3340.3701,123.9140,0.0000,255.0000,71.6810,18306,1.0000
27375,256,256,0,259.3139,104.7307,19.0000,250.0000,48.9213,6163,0.8587
27376,256,256,0,1819.3430,105.0061,0.0000,255.0000,62.3407,15442,1.0000
27377,256,256,0,1810.1615,76.3052,0.0000,255.0000,49.7010,16044,1.0000
27378,256,256,0,5679.6675,96.4687,0.0000,255.0000,67.2426,21991,1.0000
27379,256,256,0,3539.7317,164.2758,0.0000,255.0000,73.1288,13460,1.0000
27380,256,256,0,3770.6658,128.6742,0.0000,255.0000,56.3470,17149,1.0000
27381,256,256,0,1290.8408,131.8172,0.0000,255.0000,58.5374,12787,1.0000
27382,256,256,0,3543.7793,188.6537,0.0000,255.0000,31.9513,19710,1.0000
27383,256,256,0,1901.1462,167.4839,0.0000,255.0000,60.0327,15226,1.0000
