from,to,distance
images/images/art and culture/i - 826.jpeg,images/images/art and culture/20 (10).jpg,0.712699
images/images/art and culture/570 (2).jpg,images/images/travel and  adventure/Places365_val_00009115.jpg,0.712694
images/images/travel and  adventure/Places365_val_00010152.jpg,images/images/architecure/5097642435_cea9ed45e4_m.jpg,0.712694
images/images/travel and  adventure/Places365_val_00013784.jpg,images/images/travel and  adventure/Places365_val_00009744.jpg,0.712673
images/images/art and culture/635 (2).jpg,images/images/art and culture/1660.jpg,0.712662
images/images/travel and  adventure/Places365_val_00010572.jpg,images/images/travel and  adventure/Places365_val_00011102.jpg,0.712642
images/images/food and d rinks/JXhkEmxBykEBToXV2WMR.jpeg,images/images/art and culture/530.jpg,0.712641
images/images/food and d rinks/x75udt6P08MbS3OTNb0N.jpg,images/images/food and d rinks/hOgvjyyKT5N2fE4pe5q0.jpg,0.712640
images/images/art and culture/458.png,images/images/art and culture/700 (3).jpg,0.712639
images/images/art and culture/i - 1358.jpeg,images/images/art and culture/i - 1253.jpeg,0.712627
images/images/art and culture/245 (6).jpg,images/images/art and culture/598 (5).jpg,0.712626
images/images/travel and  adventure/Places365_val_00007527.jpg,images/images/travel and  adventure/Places365_val_00013661.jpg,0.712617
images/images/travel and  adventure/Places365_val_00010962.jpg,images/images/travel and  adventure/Places365_val_00009830.jpg,0.712611
images/images/travel and  adventure/Places365_val_00009870.jpg,images/images/travel and  adventure/Places365_val_00012525.jpg,0.712610
