component_id,mean,sum,count,min,max
14587,1.775417,2.000000,0.887709,0.887709,0.887709
14597,2.000000,2.000000,1.000000,1.000000,1.000000
14634,2.000000,2.000000,1.000000,1.000000,1.000000
14653,1.835152,2.000000,0.917576,0.917576,0.917576
14657,1.797184,2.000000,0.898592,0.898592,0.898592
14658,2.000000,2.000000,1.000000,1.000000,1.000000
14666,1.833551,2.000000,0.916775,0.916775,0.916775
14669,6.000000,6.000000,1.000000,1.000000,1.000000
14675,5.510622,6.000000,0.918437,0.898330,0.949476
14692,1.993946,2.000000,0.996973,0.996973,0.996973
14719,5.363709,6.000000,0.893951,0.889789,0.898969
14721,3.703847,4.000000,0.925962,0.916483,0.935441
14747,3.606959,4.000000,0.901740,0.899866,0.903614
14758,1.775187,2.000000,0.887594,0.887594,0.887594
14770,0.946997,1.000000,0.946997,0.946997,0.946997
14813,1.834782,2.000000,0.917391,0.917391,0.917391
14839,1.805195,2.000000,0.902597,0.902597,0.902597
14846,1.765155,2.000000,0.882578,0.882578,0.882578
14863,2.000000,2.000000,1.000000,1.000000,1.000000
14867,1.767319,2.000000,0.883660,0.883660,0.883660
14919,1.864725,2.000000,0.932362,0.932362,0.932362
14937,1.824063,2.000000,0.912031,0.912031,0.912031
14943,1.809841,2.000000,0.904921,0.904921,0.904921
14961,5.469508,6.000000,0.911585,0.903775,0.925024
15011,1.788274,2.000000,0.894137,0.894137,0.894137
15021,1.768154,2.000000,0.884077,0.884077,0.884077
15071,6.000000,6.000000,1.000000,1.000000,1.000000
15072,1.934128,2.000000,0.967064,0.967064,0.967064
15087,7.532893,8.000000,0.941612,0.914378,0.961475
15097,1.976928,2.000000,0.988464,0.988464,0.988464
15099,1.918890,2.000000,0.959445,0.959445,0.959445
15112,5.999998,6.000000,1.000000,1.000000,1.000000
15115,3.577984,4.000000,0.894496,0.885619,0.903373
15122,1.900087,2.000000,0.950043,0.950043,0.950043
15137,1.999999,2.000000,1.000000,1.000000,1.000000
15153,1.999999,2.000000,0.999999,0.999999,0.999999
15158,1.769335,2.000000,0.884667,0.884667,0.884667
15220,1.812776,2.000000,0.906388,0.906388,0.906388
15250,1.798107,2.000000,0.899054,0.899054,0.899054
15273,1.783475,2.000000,0.891737,0.891737,0.891737
15278,1.891874,2.000000,0.945937,0.945937,0.945937
15299,1.869269,2.000000,0.934635,0.934635,0.934635
15300,1.969295,2.000000,0.984648,0.984648,0.984648
15307,1.794165,2.000000,0.897083,0.897083,0.897083
15388,5.574894,6.000000,0.929149,0.894893,0.964285
15401,1.903453,2.000000,0.951727,0.951727,0.951727
15407,1.920091,2.000000,0.960046,0.960046,0.960046
15466,1.951292,2.000000,0.975646,0.975646,0.975646
15511,5.999998,6.000000,1.000000,1.000000,1.000000
15515,3.883044,4.000000,0.970761,0.941522,1.000000
15518,2.000000,2.000000,1.000000,1.000000,1.000000
15523,1.978615,2.000000,0.989307,0.989307,0.989307
15527,2.000000,2.000000,1.000000,1.000000,1.000000
15536,1.934518,2.000000,0.967259,0.967259,0.967259
15549,1.976477,2.000000,0.988239,0.988239,0.988239
15550,2.000000,2.000000,1.000000,1.000000,1.000000
15599,2.000000,2.000000,1.000000,1.000000,1.000000
15629,1.760160,2.000000,0.880080,0.880080,0.880080
15679,1.831850,2.000000,0.915925,0.915925,0.915925
15836,1.765607,2.000000,0.882804,0.882804,0.882804
15940,2.000000,2.000000,1.000000,1.000000,1.000000
15941,1.926074,2.000000,0.963037,0.963037,0.963037
15943,2.000000,2.000000,1.000000,1.000000,1.000000
15957,1.760168,2.000000,0.880084,0.880084,0.880084
15969,2.000000,2.000000,1.000000,1.000000,1.000000
15970,1.953824,2.000000,0.976912,0.976912,0.976912
15978,1.976025,2.000000,0.988012,0.988012,0.988012
15996,2.000000,2.000000,1.000000,1.000000,1.000000
16006,5.603382,6.000000,0.933897,0.900846,1.000000
16106,1.872113,2.000000,0.936057,0.936057,0.936057
16157,1.808823,2.000000,0.904411,0.904411,0.904411
16165,7.996834,8.000000,0.999604,0.998417,1.000000
16215,2.000000,2.000000,1.000000,1.000000,1.000000
16244,1.881442,2.000000,0.940721,0.940721,0.940721
16261,1.886990,2.000000,0.943495,0.943495,0.943495
16264,1.776274,2.000000,0.888137,0.888137,0.888137
16266,1.999999,2.000000,1.000000,1.000000,1.000000
16325,6.000000,6.000000,1.000000,1.000000,1.000000
16348,1.795589,2.000000,0.897795,0.897795,0.897795
16352,1.951664,2.000000,0.975832,0.975832,0.975832
16356,11.542443,13.000000,0.887880,0.882258,0.896364
16373,2.000000,2.000000,1.000000,1.000000,1.000000
16378,5.969281,6.000000,0.994880,0.992043,0.999732
16380,5.529141,6.000000,0.921524,0.884818,0.983391
16388,2.000000,2.000000,1.000000,1.000000,1.000000
16394,1.994052,2.000000,0.997026,0.997026,0.997026
16402,3.897218,4.000000,0.974304,0.948609,1.000000
16403,3.561232,4.000000,0.890308,0.883256,0.897360
16419,1.942248,2.000000,0.971124,0.971124,0.971124
16426,2.000000,2.000000,1.000000,1.000000,1.000000
16430,3.573790,4.000000,0.893447,0.892504,0.894391
16475,2.000000,2.000000,1.000000,1.000000,1.000000
16484,3.560248,4.000000,0.890062,0.885154,0.894970
16490,1.760308,2.000000,0.880154,0.880154,0.880154
16532,2.000000,2.000000,1.000000,1.000000,1.000000
16535,6.000000,6.000000,1.000000,1.000000,1.000000
16548,1.999999,2.000000,0.999999,0.999999,0.999999
16567,6.000000,6.000000,1.000000,1.000000,1.000000
16619,1.840103,2.000000,0.920051,0.920051,0.920051
16625,1.777791,2.000000,0.888896,0.888896,0.888896
16629,2.000000,2.000000,1.000000,1.000000,1.000000
16633,8.845577,10.000000,0.884558,0.881049,0.892845
16641,1.983098,2.000000,0.991549,0.991549,0.991549
16643,1.939797,2.000000,0.969898,0.969898,0.969898
16666,5.999999,6.000000,1.000000,1.000000,1.000000
16670,1.924225,2.000000,0.962112,0.962112,0.962112
16684,5.996490,6.000000,0.999415,0.999122,1.000000
16691,6.000000,6.000000,1.000000,1.000000,1.000000
16716,5.870831,6.000000,0.978472,0.967708,1.000000
16719,1.949129,2.000000,0.974564,0.974564,0.974564
16731,1.991593,2.000000,0.995797,0.995797,0.995797
16804,1.999998,2.000000,0.999999,0.999999,0.999999
16808,5.382551,6.000000,0.897092,0.880977,0.908837
16820,1.850770,2.000000,0.925385,0.925385,0.925385
16832,2.000000,2.000000,1.000000,1.000000,1.000000
16840,1.810804,2.000000,0.905402,0.905402,0.905402
16910,1.792550,2.000000,0.896275,0.896275,0.896275
16938,2.000000,2.000000,1.000000,1.000000,1.000000
16972,1.864073,2.000000,0.932037,0.932037,0.932037
16998,5.939588,6.000000,0.989931,0.984897,1.000000
16999,1.967605,2.000000,0.983803,0.983803,0.983803
17003,2.000000,2.000000,1.000000,1.000000,1.000000
17006,1.881314,2.000000,0.940657,0.940657,0.940657
17017,1.769730,2.000000,0.884865,0.884865,0.884865
17022,6.000000,6.000000,1.000000,1.000000,1.000000
17029,1.999999,2.000000,1.000000,1.000000,1.000000
17035,1.999999,2.000000,1.000000,1.000000,1.000000
17044,1.987310,2.000000,0.993655,0.993655,0.993655
17061,1.760522,2.000000,0.880261,0.880261,0.880261
17066,1.999999,2.000000,1.000000,1.000000,1.000000
17077,1.926476,2.000000,0.963238,0.963238,0.963238
17080,1.928781,2.000000,0.964391,0.964391,0.964391
17093,1.987561,2.000000,0.993780,0.993780,0.993780
17096,2.000000,2.000000,1.000000,1.000000,1.000000
17105,2.000000,2.000000,1.000000,1.000000,1.000000
17108,1.765310,2.000000,0.882655,0.882655,0.882655
17120,5.999968,6.000000,0.999995,0.999992,1.000000
17134,1.784591,2.000000,0.892295,0.892295,0.892295
17175,1.870308,2.000000,0.935154,0.935154,0.935154
17177,1.987905,2.000000,0.993953,0.993953,0.993953
17187,1.796798,2.000000,0.898399,0.898399,0.898399
17189,5.849244,6.000000,0.974874,0.962311,0.999999
17218,1.761424,2.000000,0.880712,0.880712,0.880712
17231,1.994272,2.000000,0.997136,0.997136,0.997136
17237,1.961937,2.000000,0.980968,0.980968,0.980968
17253,5.328192,6.000000,0.888032,0.883564,0.893507
17263,1.857794,2.000000,0.928897,0.928897,0.928897
17267,1.991398,2.000000,0.995699,0.995699,0.995699
17273,7.085504,8.000000,0.885688,0.880481,0.891850
17287,1.839316,2.000000,0.919658,0.919658,0.919658
17293,1.825165,2.000000,0.912582,0.912582,0.912582
17303,1.816553,2.000000,0.908276,0.908276,0.908276
17359,2.000000,2.000000,1.000000,1.000000,1.000000
17364,1.980351,2.000000,0.990176,0.990176,0.990176
17377,1.975627,2.000000,0.987814,0.987814,0.987814
17388,1.939725,2.000000,0.969863,0.969863,0.969863
17392,1.958898,2.000000,0.979449,0.979449,0.979449
17407,7.776232,8.000000,0.972029,0.888118,0.999999
17413,5.796203,6.000000,0.966034,0.898102,1.000000
17428,1.943816,2.000000,0.971908,0.944129,0.999686
17443,1.959045,2.000000,0.979523,0.979523,0.979523
17445,2.000000,2.000000,1.000000,1.000000,1.000000
17472,1.916079,2.000000,0.958040,0.958040,0.958040
17476,2.000000,2.000000,1.000000,1.000000,1.000000
17493,1.821581,2.000000,0.910791,0.910791,0.910791
17498,5.969557,6.000000,0.994926,0.992389,1.000000
17541,5.929403,6.000000,0.988234,0.982351,1.000000
17550,1.996194,2.000000,0.998097,0.998097,0.998097
17571,1.918198,2.000000,0.959099,0.959099,0.959099
17584,1.767421,2.000000,0.883710,0.883710,0.883710
17611,1.913521,2.000000,0.956761,0.956761,0.956761
17617,1.960173,2.000000,0.980086,0.980086,0.980086
17643,1.998197,2.000000,0.999098,0.999098,0.999098
17653,1.878576,2.000000,0.939288,0.939288,0.939288
17706,9.942154,10.000000,0.994215,0.971077,1.000000
17718,2.000000,2.000000,1.000000,1.000000,1.000000
17739,2.000000,2.000000,1.000000,1.000000,1.000000
17749,6.000000,6.000000,1.000000,1.000000,1.000000
17759,1.928325,2.000000,0.964162,0.964162,0.964162
17762,2.000000,2.000000,1.000000,1.000000,1.000000
17787,1.800753,2.000000,0.900376,0.900376,0.900376
17791,6.000000,6.000000,1.000000,1.000000,1.000000
17795,1.906950,2.000000,0.953475,0.953475,0.953475
17800,5.863124,6.000000,0.977187,0.965781,0.999999
17803,2.000000,2.000000,1.000000,1.000000,1.000000
17828,1.761775,2.000000,0.880887,0.880887,0.880887
17835,1.978108,2.000000,0.989054,0.989054,0.989054
17870,1.884938,2.000000,0.942469,0.942469,0.942469
17876,2.000000,2.000000,1.000000,1.000000,1.000000
17878,2.000000,2.000000,1.000000,1.000000,1.000000
17881,2.000000,2.000000,1.000000,1.000000,1.000000
17891,2.000000,2.000000,1.000000,1.000000,1.000000
