from,to,distance
images/images/art and culture/1915.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/2197.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/1913.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/1920.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/2197.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/2297.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/food and d rinks/DNUZtNfia0QP1LkRkkKs.png,images/images/food and d rinks/PYFXUZZDGzcsoUAEWLhH.png,1.000000
images/images/food and d rinks/DNUZtNfia0QP1LkRkkKs.png,images/images/food and d rinks/OalSKS8ZepeJJZ7rNwZD.png,1.000000
images/images/art and culture/1899.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/food and d rinks/DmaZTGyv31dqGrcSPQwc.png,images/images/food and d rinks/Gj7H1oZnpQIyneaNfRwY.png,1.000000
images/images/art and culture/1897.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/1897.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/2199.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/2299.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/2193.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/food and d rinks/2KNJ0ktQWov8eRjr2RKm.jpeg,images/images/food and d rinks/drzNL7BACeRvYMPdL5LA.jpeg,1.000000
images/images/food and d rinks/2KNJ0ktQWov8eRjr2RKm.jpeg,images/images/food and d rinks/AhdQVfmbuHh7CvUb8UcX.jpeg,1.000000
images/images/food and d rinks/drzNL7BACeRvYMPdL5LA.jpeg,images/images/food and d rinks/AhdQVfmbuHh7CvUb8UcX.jpeg,1.000000
images/images/food and d rinks/XBqtJpvKIK8TeKXgP8q2.jpeg,images/images/food and d rinks/VaXyM7CkGw71y6eHqIgK.jpeg,1.000000
images/images/food and d rinks/2haqx7Hr8WOjjucXp7Pk.jpg,images/images/food and d rinks/ZQjxjYNylHOIDRhAOoAi.jpg,1.000000
images/images/art and culture/2194.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/2299.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/art and culture/2194.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/1895.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/food and d rinks/2F37lf2jyfEYUlfJKWRY.jpeg,images/images/food and d rinks/jYCyxaKPDVeDrrxA1bqN.jpeg,1.000000
images/images/art and culture/2195.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/2195.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/1924.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/art and culture/1924.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/1922.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/1922.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/food and d rinks/dpJrnZpAHIPL1wK8480Q.png,images/images/food and d rinks/EtFjETqC5szrgnWZudyP.png,1.000000
images/images/art and culture/1920.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/562 (4).jpg,images/images/art and culture/769.jpg,1.000000
images/images/food and d rinks/l128HdDbUUql54c4074o.jpg,images/images/food and d rinks/VhTfNFpFDdvfIArZRmg3.jpg,1.000000
images/images/art and culture/1390.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/1390.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/1391.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/1391.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/art and culture/2294.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/1393.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/food and d rinks/l2CM08XM7TeHVwVrAJcB.jpg,images/images/food and d rinks/R4wngNqB2TJv1iEvK4Uo.jpg,1.000000
images/images/art and culture/1393.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/1394.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/1394.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/food and d rinks/l128HdDbUUql54c4074o.jpg,images/images/food and d rinks/uXzuuLJ3xtIqlHlv7Oyl.jpg,1.000000
images/images/art and culture/2293.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/2293.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/1395.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/1888.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/1397.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/1397.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/food and d rinks/KX10dti5Q5EjgOTPR3jW.jpg,images/images/food and d rinks/VNjdWpUOpDniqRBLwGyA.jpg,1.000000
images/images/architecure/11461956333_068ff3a2dc_m.jpg,images/images/architecure/11467254115_b5ec32660d_m.jpg,1.000000
images/images/art and culture/1893.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/1895.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/food and d rinks/uXzuuLJ3xtIqlHlv7Oyl.jpg,images/images/food and d rinks/VhTfNFpFDdvfIArZRmg3.jpg,1.000000
images/images/art and culture/1894.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/1894.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/2295.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/1893.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/food and d rinks/l2CM08XM7TeHVwVrAJcB.jpg,images/images/food and d rinks/uO6H0sqpkRdg20J3QvzX.jpg,1.000000
images/images/art and culture/2295.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/2294.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/1388.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/1388.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/1891.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/architecure/11462332355_cff47333bd.jpg,images/images/architecure/11543398565_7a25482b20.jpg,1.000000
images/images/art and culture/1891.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/1890.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/architecure/80px-Hijosa_de_Boedo_Church_of_San_Martín_003_Apse.jpg,images/images/architecure/80px-Hijosa_de_Boedo_Church_of_San_Mart�n_003_Apse.jpg,1.000000
images/images/art and culture/1968.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/2174.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/art and culture/2174.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/art and culture/1966.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/art and culture/1966.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/1965.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/1965.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/1963.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/architecure/11465100075_54422a8b8f_m.jpg,images/images/architecure/9273044115_2ac1887878_m.jpg,1.000000
images/images/art and culture/1963.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/1968.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/2316.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/art and culture/114 (3).jpg,images/images/art and culture/51 (3).jpg,1.000000
images/images/architecure/80px-20090817_¥sterlars_kirke_Bornholm_07.jpg,images/images/architecure/80px-20090817_�sterlars_kirke_Bornholm_07.jpg,1.000000
images/images/art and culture/2316.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/architecure/8092180951_724281f0be_n.jpg,images/images/architecure/8092327536_3b6333d72b_n.jpg,1.000000
images/images/art and culture/2315.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/2170.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/103 (8).jpg,images/images/art and culture/75.jpg,1.000000
images/images/art and culture/104 (3).jpg,images/images/art and culture/98 (2).jpg,1.000000
images/images/art and culture/2170.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/food and d rinks/3ojaHkpB4B33MmTzHwlb.jpg,images/images/food and d rinks/Q27jR4H4iU18kksBGQG2.jpg,1.000000
images/images/art and culture/2172.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/1974.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/food and d rinks/3eObVubJ3QxMg2oFQhYS.jpg,images/images/food and d rinks/QK4rbKXOoEGBj4CXt1dL.jpg,1.000000
images/images/art and culture/2172.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/1974.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/food and d rinks/EakXoD3TWcXJjIHETkyP.jpg,images/images/food and d rinks/XWoJQlIITvN5fbKjVGE1.jpg,1.000000
images/images/architecure/80px-St.Zeno_Reichenhall_-_Außen_2_Apsis.jpg,images/images/architecure/80px-St.Zeno_Reichenhall_-_Au�en_2_Apsis.jpg,1.000000
images/images/art and culture/1972.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/1972.jpg,images/images/art and culture/1872.jpg,1.000000
images/images/art and culture/1970.jpg,images/images/art and culture/1545.jpg,1.000000
images/images/art and culture/2318.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/1970.jpg,images/images/art and culture/1395.jpg,1.000000
images/images/art and culture/1969.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/1969.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/1944.jpg,images/images/art and culture/1769.jpg,1.000000
images/images/art and culture/1943.jpg,images/images/art and culture/1868.jpg,1.000000
images/images/art and culture/1943.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/1941.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/art and culture/1941.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/art and culture/1940.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/1940.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/food and d rinks/DuTuVJQzzfEIMPMK2kRY.jpg,images/images/food and d rinks/z3jQCkYBoXtDrw8mxnkH.jpg,1.000000
images/images/food and d rinks/2ZVWvZApVklldZEitsza.jpg,images/images/food and d rinks/qmNGgPVsIskPCW0GWP7q.jpg,1.000000
images/images/art and culture/1944.jpg,images/images/art and culture/2044.jpg,1.000000
images/images/art and culture/2190.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/1938.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/1938.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/2190.jpg,images/images/art and culture/1990.jpg,1.000000
images/images/art and culture/2191.jpg,images/images/art and culture/1716.jpg,1.000000
images/images/food and d rinks/dsv4KE1dqdr36aG2PC6m.jpg,images/images/food and d rinks/z3jQCkYBoXtDrw8mxnkH.jpg,1.000000
images/images/food and d rinks/2lfKf42eh8CH0bfHzIYU.jpg,images/images/food and d rinks/wUEzBa31mJThOiWYwf03.jpg,1.000000
images/images/art and culture/2191.jpg,images/images/art and culture/2091.jpg,1.000000
images/images/food and d rinks/dsv4KE1dqdr36aG2PC6m.jpg,images/images/food and d rinks/DuTuVJQzzfEIMPMK2kRY.jpg,1.000000
images/images/art and culture/2193.jpg,images/images/art and culture/1593.jpg,1.000000
images/images/art and culture/2313.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/2315.jpg,images/images/art and culture/1890.jpg,1.000000
images/images/art and culture/1949.jpg,images/images/art and culture/2199.jpg,1.000000
images/images/architecure/11464865154_6490cd0007 - copia.jpg,images/images/architecure/11464865154_6490cd0007.jpg,1.000000
images/images/art and culture/2188.jpg,images/images/art and culture/2113.jpg,1.000000
images/images/art and culture/2188.jpg,images/images/art and culture/2313.jpg,1.000000
images/images/art and culture/1949.jpg,images/images/art and culture/1899.jpg,1.000000
images/images/food and d rinks/lKXoxcO827ULCBFtXdva.jpg,images/images/food and d rinks/u8j3C2xcjgjsfZMEWqKQ.jpg,1.000000
images/images/art and culture/1947.jpg,images/images/art and culture/2047.jpg,1.000000
images/images/art and culture/1947.jpg,images/images/art and culture/1872.jpg,1.000000
